id,nodeA,nodeB
IHALL01705_IHALL01805,IHALL01705,IHALL01805
BadSol1615935214_BadSol42,BadSol1615935214,BadSol42
BadSol1615935216_BadSol41,BadSol1615935216,BadSol41
BadSol19_BadSol1615935362,BadSol19,BadSol1615935362
PHALL00101_IHALL00201,PHALL00101,IHALL00201
IHALL00802_IELEV00202,IHALL00802,IELEV00202
ISERV00203_IHALL02103,ISERV00203,IHALL02103
ISERV00103_IHALL02203,ISERV00103,IHALL02203
IHALL01401_IHALL00901,IHALL01401,IHALL00901
BadSol1615935220_BadSol40,BadSol1615935220,BadSol40
BadSol1615935225_IPARK00601,BadSol1615935225,IPARK00601
ILAB00301_IHALL02201,ILAB00301,IHALL02201
ISTAI00504_IHALL01204,ISTAI00504,IHALL01204
ISTAI00104_IHALL03904,ISTAI00104,IHALL03904
IPARK02301_BadSol1615935824,IPARK02301,BadSol1615935824
BadSol1615935848_IPARK02401,BadSol1615935848,IPARK02401
IHALL02102_IHALL02002,IHALL02102,IHALL02002
IHALL00202_IDEPT00202,IHALL00202,IDEPT00202
IHALL00401_IHALL00501,IHALL00401,IHALL00501
IHALL03205_IDEPT01805,IHALL03205,IDEPT01805
IHALL00503_IHALL00403,IHALL00503,IHALL00403
IREST00203_IHALL01503,IREST00203,IHALL01503
IHALL00402_IHALL00502,IHALL00402,IHALL00502
IHALL02704_IHALL02804,IHALL02704,IHALL02804
IHALL02701_IHALL02801,IHALL02701,IHALL02801
IHALL00405_IHALL00505,IHALL00405,IHALL00505
IHALL00404_IHALL00504,IHALL00404,IHALL00504
BadSol1615935838_IPARK02501,BadSol1615935838,IPARK02501
BadSol1615935846_BadSol1615935847,BadSol1615935846,BadSol1615935847
IHALL02701_IHALL01601,IHALL02701,IHALL01601
IREST00104_IHALL00504,IREST00104,IHALL00504
IDEPT00104_IHALL03804,IDEPT00104,IHALL03804
IHALL03604_IDEPT00304,IHALL03604,IDEPT00304
IDEPT01004_IHALL02904,IDEPT01004,IHALL02904
IHALL03504_IDEPT00404,IHALL03504,IDEPT00404
IHALL01102_IHALL00902,IHALL01102,IHALL00902
IREST00202_IHALL02702,IREST00202,IHALL02702
BadSol1615935587_IPARK00701,BadSol1615935587,IPARK00701
ISTAI00505_IHALL01305,ISTAI00505,IHALL01305
IREST00105_IHALL00505,IREST00105,IHALL00505
IHALL03004_IHALL03104,IHALL03004,IHALL03104
IWALK01101_IEXIT00201,IWALK01101,IEXIT00201
IHALL03001_IHALL03101,IHALL03001,IHALL03101
BadSol1615935848_BadSol1615935857,BadSol1615935848,BadSol1615935857
IHALL03205_IHALL03105,IHALL03205,IHALL03105
IHALL03204_IHALL03104,IHALL03204,IHALL03104
IHALL01703_IHALL01603,IHALL01703,IHALL01603
IDEPT00105_IHALL00405,IDEPT00105,IHALL00405
BadSol1615935590_IPARK00901,BadSol1615935590,IPARK00901
IHALL01704_IHALL01604,IHALL01704,IHALL01604
